unit_id,housing_type,bedrooms,bathrooms,full_bathrooms,half_bathrooms,maximum_occupants,square_footage,minimum_stay_duration,has_rest_days,is_in_hoa,is_sub_unit,city_name,county,zip5,state_name_short,unit_latitude,unit_longitude
45331,house,4,4,3,1,10,2726,2,false,false,false,Kiawah Island,Charleston,29455,SC,32.602791,-80.106611
45720,condo,3,3,3,0,10,"",1,false,false,false,North Myrtle Beach,Horry,29582,SC,33.810543,-78.692665
45740,suite,1,1,1,0,6,"",1,false,false,false,North Myrtle Beach,Horry,29582,SC,33.801640,-78.713047
46030,studio,0,1,1,0,6,"",1,false,false,false,Myrtle Beach,Horry,29577,SC,33.699590,-78.871217
46117,condo,1,1,1,0,6,"",1,false,false,false,Myrtle Beach,Horry,29577,SC,33.699590,-78.871217
46141,condo,1,1,1,0,4,"",1,false,false,false,Myrtle Beach,Horry,29577,SC,33.699590,-78.871217
46162,studio,0,1,1,0,4,"",1,false,false,false,Myrtle Beach,Horry,29577,SC,33.704556,-78.865114
46215,studio,0,1,1,0,2,"",1,false,false,false,Myrtle Beach,Horry,29577,SC,33.704556,-78.865114
46238,studio,0,1,1,0,2,"",1,false,false,false,Myrtle Beach,Horry,29577,SC,33.704556,-78.865114
46244,studio,0,1,1,0,2,"",1,false,false,false,Myrtle Beach,Horry,29577,SC,33.704556,-78.865114
46249,studio,0,1,1,0,2,"",1,false,false,false,Myrtle Beach,Horry,29577,SC,33.704556,-78.865114
46272,condo,1,1,1,0,6,"",1,false,false,false,Myrtle Beach,Horry,29577,SC,33.704556,-78.865114
46283,studio,0,1,1,0,2,"",1,false,false,false,Myrtle Beach,Horry,29577,SC,33.704556,-78.865114
46335,suite,2,2,2,0,6,"",1,false,false,false,North Myrtle Beach,Horry,29582,SC,33.850439,-78.654644
46374,studio,0,1,1,0,4,"",1,false,false,false,Myrtle Beach,Horry,29577,SC,33.669836,-78.904645
